,id,Star_Name,Distance_x,Mass_x,Radius_x,Luminosity,Star_name,Distance_y,Mass_y,Radius_y,Solar_Mass,Solar_Radius
0,0,Sun,0.000015813,1,1,1,SDSS J000013.54+255418.6 [de],46.1,48.0,0.99,0.045820224,0.10173536999999999
1,1,Sirius,0008.6,2.1,1.71,25.4,2MASS J00040288-6410358,192.0,19.0,1.63,0.018137172,0.16750368999999998
2,2,Canopus,0310,15,71,"13,500",LHS 102BC,,,,,
3,3,Alpha Centauri,0004.4,1.1,1.2,2,2MASS J00242463-0158201,37.7,79.0,1.09,0.075412452,0.11201167000000001
4,4,Arcturus,0037,1.1,26,170,2MASS J00250365+4759191AB,143.0,,,,
5,5,Vega,0025,2.2,2.7,50,2MASS J00274197+0503417,236.0,31.0,1.44,0.029592228,0.14797871999999998
6,6,Capella,0043,2.6,12,150,2MASS J00275592+2219328,46.9,,,,
7,7,Rigel,0860,23,78.9,"120,000",2MASSW J0030300-145033,87.2,54.0,0.98,0.051547752,0.10070773999999999
8,8,Procyon,0011.4,1.5,1.9,7.7,2MASS J00332386-1521309 [de],131.0,29.0,1.43,0.027683052,0.14695108999999998
9,9,Betelgeuse,0640[1],20,950,"60,000",2MASS J00345157+0523050,31.0,42.0,0.94,0.040092696000000004,0.09659721999999998
10,10,Achernar,0144,6.7,9.3,"3,000",2MASS 0036+1821,28.6,42.0,0.94,0.040092696000000004,0.09659721999999998
11,11,Hadar,0390,10.5,8.6,"42,000",2MASSW J0045214+163445,57.0,23.0,1.62,0.021955524,0.16647606
12,12,Altair,0017,1.8,1.8,10.5,WISEP J004701.06+680352.1 [fr],40.0,12.0,1.3,0.011455056,0.13359189999999999
13,13,Acrux,0320,18,8.9,"25,000",2MASS J00501994-3322402 [de],34.0,40.0,0.94,0.03818352,0.09659721999999998
14,14,Aldebaran,0065,1.5,44,520,2MASS J00034227-2822410,,,,,
15,15,Antares,0600,12,680,"75,000",2MASS J00584253-0651239 [de],96.0,29.0,1.43,0.027683052,0.14695108999999998
16,16,Spica,0260,11.43,7.47,"20,512",CFBDS J005910.90–011401.3,30.0,23.0,,0.021955524,
17,17,Pollux,0034,1.9,8.8,43,2MASSI J0103320+193536,70.0,52.0,0.98,0.049638576000000004,0.10070773999999999
18,18,Fomalhaut,0025,1.9,1.8,16.6,SDSSp J010752.33+004156.1 [de],51.0,52.0,0.98,0.049638576000000004,0.10070773999999999
19,19,Deneb,"2,600",19,203,"200,000",2MASSI J0117474-340325 [de],163.0,20.0,1.62,0.01909176,0.16647606
20,20,Mimosa,0350,16,8.4,"34,000",2MASS J01415823-4633574 [de],130.0,20.0,1.61,0.01909176,0.16544843
21,21,Regulus,0077,3.8,3.1,290,SDSS J015141.69+124429.6,70.0,47.0,0.97,0.044865636,0.09968010999999999
22,22,Adhara,0430,12.5,14,"39,000",DENIS-P J020529.0−115925A,65.0,,,,
23,23,Shaula,0700,14.5,8.8,"36,000",DENIS-P J020529.0−115925B,65.0,,,,
24,24,Castor,0052,2.8,2.4,30,DENIS-P J020529.0−115925C,65.0,,,,
25,25,Gacrux,0088,1.5,84,820,SDSS J020742.48+000056.2 [de],111.0,47.0,0.97,0.044865636,0.09968010999999999
26,26,Bellatrix,0240,8.6,5.8,"9,200",2MASS J02103857-3015313,101.0,15.0,1.53,0.014318820000000001,0.15722739
27,27,Elnath,0130,5.0,4.2,700,2MASS J02340093-6442068,155.0,20.0,1.62,0.01909176,0.16647606
28,28,Miaplacidus,0110,3.5,6.8,290,2MASS J02411151-0326587 [de],152.0,27.0,1.41,0.025773876,0.14489582999999998
29,29,Alnilam,"2,000",32,42,"380,000",2MASS J02431371−2453298,35.0,33.0,0.99,0.031501404000000004,0.10173536999999999
30,30,Gamma Velorum,"01,100",9.0,6,"170,000",LP 771-21,53.0,78.0,1.08,0.074457864,0.11098404
31,31,Alnair,0101,4.0,3.4,260,2MASS J02511327+0047364,,,,,
32,32,Alioth,0081,2.9,4.2,110,2MASS J02535980+3206373,184.0,65.0,1.9,0.06204822,0.19524969999999997
33,33,Alnitak,01050,33,20,"120,000",WISE J0254+0223,24.0,65.0,1.9,0.06204822,0.19524969999999997
34,34,Dubhe,0120,4.25,30,300,DEN 0255-4700,16.2,80.0,0.97,0.07636704,0.09968010999999999
35,35,Mirfak,0590,8.5,68,"5,000",2MASS J03185403-3421292 [de],45.0,49.0,0.97,0.046774812,0.09968010999999999
36,36,Wezen,"1,600",17,200,"82,000",2MASS J03205965+1854233,47.0,88.0,1.15,0.084003744,0.11817744999999999
37,37,Sargas,0270,5.7,26,"1,800",2MASS J03231002-4631237,192.0,23.0,1.66,0.021955524,0.17058658
38,38,Kaus Australis,0140,3.5,6.8,360,SDSS J032553.17+042540.1,59.0,45.0,0.95,0.04295646,0.09762484999999999
39,39,Avior,0630,9.0,130,"60,000",2MASS J03264225-2102057 [de],80.0,18.0,1.3,0.017182584,0.13359189999999999
40,40,Alkaid,0104,6.1,3.4,"1,350",2MASS J03284265+2302051 [de],98.0,54.0,0.98,0.051547752,0.10070773999999999
41,41,Menkalinan,081,2.39,2.77,50,2MASS J03341218-4953322,27.0,73.0,1.04,0.069684924,0.10687352
42,42,Atria,0390,7,92,"5,500",LP 944-20,20.9,73.0,1.43,0.069684924,0.14695108999999998
43,43,Alhena,0109,2.8,3.3,120,2MASP J0345432+254023,88.0,74.0,1.05,0.070639512,0.10790115
44,44,Peacock,0180,5.9,4.8,"2,200",Teide 1,380.0,55.0,3.78,0.05250234,0.38844413999999994
45,45,Alsephina[2],0080,2.4,2.9,90,2MASS J03510004-0052452,48.0,102.0,1.27,0.09736797600000001,0.13050900999999998
46,46,Mirzam,0500,13.5,10,"27,000",2MASS J03552337+1133437,29.8,20.0,1.32,0.01909176,0.13564716
47,47,Polaris,0430,5.4,39,"2,500",DENIS-P J035726.9-441730 [de],130.0,,,,
48,48,Alphard,0180,3.0,50,780,2MASS J04151954−0935066,18.6,30.0,0.95,0.028637640000000002,0.09762484999999999
49,49,Mintaka,01200,24,16.5,"190,000",SDSSp J042348.57-041403.5 [de],50.0,,,,
50,50,Scheat,0196,2.1,95,"1,500",2MASS J04285096-2253227 [de],85.0,80.0,1.09,0.07636704,0.11201167000000001
51,51,Almaaz,0653,15,140,"43,000",2MASS J04351612-1606574,34.0,100.0,1.26,0.0954588,0.12948137999999998
52,52,Rasalgethi,0360,2.8,280,"8,300",2MASS J04362788-4114465,142.0,39.0,1.97,0.037228932,0.20244310999999998
53,53,Tau Ceti,011.9,0.783,0.893,0.52,2MASS J04390101-2353083 [de],29.5,48.0,0.97,0.045820224,0.09968010999999999
54,54,Delta Pavonis,019.92,0.991,1.22,1.22,2MASS J04414489+2301513,470.0,19.0,,0.018137172,
55,55,Ran,010.48,0.82,0.74,0.34,2MASS J04433764+0002040,82.0,22.0,1.78,0.021000936,0.18291813999999998
56,56,V382 Carinae,"08,900",20,485,"212,000",2MASS J04455387-3048204 [de],42.0,64.0,1.0,0.061093632,0.102763
57,57,Eta Carinae,"07,500",100,60 - 881,"5,000,000",2MASS J04510093-3402150 [de],69.0,72.0,1.04,0.068730336,0.10687352
58,58,Delta Cephei,0887,4.5,44.5,"2,000",2MASS J05002100+0330501 [de],44.0,64.0,1.0,0.061093632,0.102763
59,59,Mu Cephei,"06,000",19.2,972,"135,000",2MASS J05012406-0010452 [de],64.0,21.0,1.38,0.020046348000000002,0.14181293999999997
